Trial,Distance_D,Width_W,ID_Bits,MT_ms,Errors
1,381.19,200.00,1.9305,423.40,0
2,535.99,50.00,4.4222,588.70,0
3,203.09,50.00,3.0221,611.60,0
4,199.12,25.00,3.9937,688.50,0
5,201.36,100.00,2.0098,437.10,0
6,277.22,50.00,3.4710,536.60,0
7,267.29,25.00,4.4184,756.70,0
8,207.01,50.00,3.0497,592.60,0
9,564.99,200.00,2.4982,553.70,0
10,177.01,50.00,2.8238,780.80,0
11,410.15,200.00,2.0361,386.30,0
12,291.62,200.00,1.5441,386.80,0
13,405.03,50.00,4.0180,677.00,0
14,213.19,50.00,3.0921,659.10,0
15,196.00,100.00,1.9709,543.50,0
16,394.06,100.00,2.9784,650.90,0
17,196.50,50.00,2.9745,584.30,0
18,447.24,100.00,3.1610,543.00,0
19,450.72,200.00,2.1722,418.90,0
20,433.59,100.00,3.1163,580.80,0
21,268.11,50.00,3.4228,529.60,0
22,214.00,200.00,1.0976,393.00,0
23,166.03,100.00,1.7314,360.10,0
24,289.28,50.00,3.5325,702.30,0
25,201.00,50.00,3.0072,571.20,0
26,389.02,100.00,2.9598,462.70,0
27,266.19,100.00,2.4125,501.20,0
28,285.05,25.00,4.5112,713.20,0
29,204.06,50.00,3.0290,578.70,0
30,202.04,50.00,3.0146,541.00,0
31,194.01,25.00,3.9561,790.40,0
32,562.86,50.00,4.4928,633.60,0
33,405.06,25.00,5.0181,809.60,0
34,287.86,100.00,2.5254,430.50,0
35,226.17,100.00,2.1774,532.10,0
36,202.09,100.00,2.0150,516.10,0
37,260.22,50.00,3.3797,465.50,0
38,188.86,50.00,2.9173,601.50,0
39,272.98,100.00,2.4488,458.60,0
40,188.22,25.00,3.9124,828.80,0
41,202.00,50.00,3.0144,606.80,0
42,406.00,100.00,3.0215,632.60,0
43,405.36,50.00,4.0192,552.70,0
44,283.55,100.00,2.5036,587.20,0
45,189.07,50.00,2.9189,527.40,0
46,280.05,25.00,4.4857,813.20,0
47,405.10,50.00,4.0183,621.20,0
48,299.17,50.00,3.5810,630.10,0
49,209.06,100.00,2.0639,524.60,0
50,199.36,200.00,0.9954,427.50,0
51,214.67,200.00,1.1021,414.80,0
52,411.73,100.00,3.0417,490.70,0
53,565.83,100.00,3.5004,654.40,0
54,437.12,25.00,5.1280,600.40,0
55,446.02,200.00,2.1571,490.60,0
56,386.08,200.00,1.9489,441.90,0
57,411.46,25.00,5.0408,730.80,0
58,203.02,100.00,2.0216,680.70,0
59,569.23,100.00,3.5090,582.90,0
